learner_level,learner_skills,learner_goals,formation_id,formation_title,formation_level,formation_skills,formation_category,label
INTERMEDIATE,Java|Spring Boot|Spring Security,security,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,PostgreSQL,backend,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,French|Communication|Spring Security,project,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
ADVANCED,PostgreSQL|Spring Security,security,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Java|Spring Boot|Spring Security|REST APIs,security,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Angular|REST APIs|French,backend,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Business English,fullstack,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
INTERMEDIATE,Communication|PostgreSQL|Spring Boot,communication,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,French|Communication|Agile|REST APIs,french career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Business English|Angular|REST APIs,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Angular|Communication|PostgreSQL,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Communication,project,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,Agile|Spring Boot|French,agile,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,French,language,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
INTERMEDIATE,Project Management|Agile|PostgreSQL|Business English,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs|French|Communication,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,REST APIs|Java,security,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,TypeScript|Angular|Communication,management,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,REST APIs|PostgreSQL|TypeScript,business,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,French|Java,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
BEGINNER,Java|REST APIs|PostgreSQL|Spring Security,java,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
ADVANCED,French|Communication|REST APIs,francais,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Business English|Project Management,project,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Java|Spring Boot|Spring Security|REST APIs,jwt,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Angular,angular training,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,TypeScript,scrum,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,TypeScript,java,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,French|Communication|Agile|Project Management,francais career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Spring Boot,presentation,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,Angular|TypeScript,angular,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Project Management|Agile|Business English,rest,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Angular,auth,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Project Management|Agile|Communication,project career,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,REST APIs,java,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,French|Java|Angular,language,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Angular|TypeScript|Business English|Spring Security,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Project Management|Agile,scrum,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,PostgreSQL|Spring Security|Project Management,project,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Angular|TypeScript|Business English|Spring Security,angular,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,TypeScript,it english,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
INTERMEDIATE,Spring Security|REST APIs|French,francais,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,REST APIs|PostgreSQL,auth,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
